id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Oda;Medhurst;Misty94@yahoo.com;um dreamer hector;2024-03-12T23:08:44;14837;25923
2;Alyson;Sanford;Godfrey_Rice@gmail.com;ounce;2024-03-12T14:39:51;22884;11440
3;Gisselle;Emard;Justice.Pfannerstill@hotmail.com;into gradient;2024-03-13T03:09:27;17871;21320
4;Heidi;VonRueden;Antonetta_Bradtke@gmail.com;badly;2024-03-12T07:51:50;15516;27325
5;Jeromy;Orn;Thalia_Jaskolski46@hotmail.com;triumphantly;2024-03-13T00:34:42;6917;26738
6;Joany;Lakin;Aleen89@gmail.com;unlike;2024-03-12T18:30:42;24996;26054
7;Eleanore;Cummings;Jackson94@hotmail.com;remortgage debut;2024-03-13T02:35:25;480;7990
8;Mason;Barrows;Talia.Gleason38@hotmail.com;and acquire;2024-03-13T00:11:43;25891;22733
9;Nickolas;Schuster;Earnest78@hotmail.com;considering canst;2024-03-13T05:17:37;13024;20205
10;Braden;Keebler;Lonny.Anderson@yahoo.com;whose;2024-03-12T17:00:49;13479;13155
